article_batch_name,article_number,article_filename,article_sha256,article_text_length,tua_group_uuid,tua_group_name,tua_batch_uuid,tua_batch_name,tua_batch_final,source_task_uuid,tua_uuid,namespace,topic_name,case_number,answer_uuid,extra,highlight_count,start_pos,end_pos,target_text
DDI-Goodly-Covid-AA-Subset-Articles (1)/DDI-DeKai/local news/AsianShovedFrom.txt,530712329,AsianShovedFrom.txt,5e0999e28ca99d64e16620f97078cb2d87ccc65b9182a0b7cbd87f33505a318d,1240,6e5544c4-bbee-4369-8aa7-09f73d037685,DDI_DeKai_QuotedSources_2022_04_22.IAA,2a7f2bc8-f2a9-4666-a65b-e6a2bcbcbc06,Consensus generated at 2022-06-06T022353,True,46703f23-0071-43af-bcac-fbf72670fc9d,38d82dac-772d-4e10-8a72-b447c2ee87e4,Sources2021_02_23,01.06.02,1,de990e39-41ac-4bdb-bd52-19081eeff520,"{""contrib_count"": 6, ""answer_text_list"": []}",1,496,555,but that support services were offered to the elderly woman
DDI-Goodly-Covid-AA-Subset-Articles (1)/DDI-DeKai/local news/AsianShovedFrom.txt,530712329,AsianShovedFrom.txt,5e0999e28ca99d64e16620f97078cb2d87ccc65b9182a0b7cbd87f33505a318d,1240,6e5544c4-bbee-4369-8aa7-09f73d037685,DDI_DeKai_QuotedSources_2022_04_22.IAA,2a7f2bc8-f2a9-4666-a65b-e6a2bcbcbc06,Consensus generated at 2022-06-06T022353,True,46703f23-0071-43af-bcac-fbf72670fc9d,1901b518-4a91-4eba-ae5b-8f719b53d71f,Sources2021_02_23,01.06.02,2,de990e39-41ac-4bdb-bd52-19081eeff520,"{""contrib_count"": 6, ""answer_text_list"": []}",1,724,899,"that the police department has begun an investigation to determine if the incident was a hate crime, noting the rise in anti-Asian violence since the beginning of the pandemic"
DDI-Goodly-Covid-AA-Subset-Articles (1)/DDI-DeKai/local news/AsianShovedFrom.txt,530712329,AsianShovedFrom.txt,5e0999e28ca99d64e16620f97078cb2d87ccc65b9182a0b7cbd87f33505a318d,1240,6e5544c4-bbee-4369-8aa7-09f73d037685,DDI_DeKai_QuotedSources_2022_04_22.IAA,2a7f2bc8-f2a9-4666-a65b-e6a2bcbcbc06,Consensus generated at 2022-06-06T022353,True,46703f23-0071-43af-bcac-fbf72670fc9d,95f6d155-dd34-4133-8468-8ce2110115ff,Sources2021_02_23,01.03.01,1,0c6cfcb0-51be-4afd-9deb-80c645cc8500,"{""contrib_count"": 7, ""answer_text_list"": []}",0,0,0,
DDI-Goodly-Covid-AA-Subset-Articles (1)/DDI-DeKai/local news/PremierCallsForAction.txt,530712330,PremierCallsForAction.txt,6257cbd769bab52c198f7776716a63d2b9dc4c2bdc231b5d6d7c302f5121ea4e,2452,6e5544c4-bbee-4369-8aa7-09f73d037685,DDI_DeKai_QuotedSources_2022_04_22.IAA,2a7f2bc8-f2a9-4666-a65b-e6a2bcbcbc06,Consensus generated at 2022-06-06T022353,True,336372e7-8312-46be-a50c-9b989632d43c,c62bfe77-a51d-477c-9735-7ab1598f3daf,Sources2021_02_23,01.12.01,1,3a420025-fc92-484a-aa88-7c73b6fa8e7b,"{""contrib_count"": 7, ""answer_text_list"": []}",0,0,0,
DDI-Goodly-Covid-AA-Subset-Articles (1)/DDI-DeKai/local news/PremierCallsForAction.txt,530712330,PremierCallsForAction.txt,6257cbd769bab52c198f7776716a63d2b9dc4c2bdc231b5d6d7c302f5121ea4e,2452,6e5544c4-bbee-4369-8aa7-09f73d037685,DDI_DeKai_QuotedSources_2022_04_22.IAA,2a7f2bc8-f2a9-4666-a65b-e6a2bcbcbc06,Consensus generated at 2022-06-06T022353,True,336372e7-8312-46be-a50c-9b989632d43c,eeb54838-a8f3-44ea-8b1d-16eba9d3c138,Sources2021_02_23,01.07.09,1,4610a084-b57f-4bdb-9807-f20bcabf8dea,"{""contrib_count"": 6, ""answer_text_list"": []}",0,0,0,
DDI-Goodly-Covid-AA-Subset-Articles (1)/DDI-DeKai/local news/PremierCallsForAction.txt,530712330,PremierCallsForAction.txt,6257cbd769bab52c198f7776716a63d2b9dc4c2bdc231b5d6d7c302f5121ea4e,2452,6e5544c4-bbee-4369-8aa7-09f73d037685,DDI_DeKai_QuotedSources_2022_04_22.IAA,2a7f2bc8-f2a9-4666-a65b-e6a2bcbcbc06,Consensus generated at 2022-06-06T022353,True,336372e7-8312-46be-a50c-9b989632d43c,c3402a8a-c48a-46d9-9e00-35ae5a1caef0,Sources2021_02_23,01.01.02,1,e4b27f85-f2ee-4555-83bf-15890e9c6c78,"{""contrib_count"": 5, ""answer_text_list"": []}",0,0,0,
DDI-Goodly-Covid-AA-Subset-Articles (1)/DDI-DeKai/local news/PremierCallsForAction.txt,530712330,PremierCallsForAction.txt,6257cbd769bab52c198f7776716a63d2b9dc4c2bdc231b5d6d7c302f5121ea4e,2452,6e5544c4-bbee-4369-8aa7-09f73d037685,DDI_DeKai_QuotedSources_2022_04_22.IAA,2a7f2bc8-f2a9-4666-a65b-e6a2bcbcbc06,Consensus generated at 2022-06-06T022353,True,336372e7-8312-46be-a50c-9b989632d43c,bd5b46b2-6dc3-4632-a520-5f8fde05dd68,Sources2021_02_23,01.08.01,1,3e9288b1-36ef-48a7-afd9-cffd2141ce2b,"{""contrib_count"": 4, ""answer_text_list"": []}",0,0,0,
DDI-Goodly-Covid-AA-Subset-Articles (1)/DDI-DeKai/local news/PremierCallsForAction.txt,530712330,PremierCallsForAction.txt,6257cbd769bab52c198f7776716a63d2b9dc4c2bdc231b5d6d7c302f5121ea4e,2452,6e5544c4-bbee-4369-8aa7-09f73d037685,DDI_DeKai_QuotedSources_2022_04_22.IAA,2a7f2bc8-f2a9-4666-a65b-e6a2bcbcbc06,Consensus generated at 2022-06-06T022353,True,336372e7-8312-46be-a50c-9b989632d43c,d0fc7263-c79a-4fde-8c5f-18b24dd1ac35,Sources2021_02_23,01.05.02,1,c14cfbf4-9178-4bad-a780-d59cf704a4ac,"{""contrib_count"": 5, ""answer_text_list"": []}",1,255,262,premier
DDI-Goodly-Covid-AA-Subset-Articles (1)/DDI-DeKai/local news/PremierCallsForAction.txt,530712330,PremierCallsForAction.txt,6257cbd769bab52c198f7776716a63d2b9dc4c2bdc231b5d6d7c302f5121ea4e,2452,6e5544c4-bbee-4369-8aa7-09f73d037685,DDI_DeKai_QuotedSources_2022_04_22.IAA,2a7f2bc8-f2a9-4666-a65b-e6a2bcbcbc06,Consensus generated at 2022-06-06T022353,True,336372e7-8312-46be-a50c-9b989632d43c,2d559b23-a198-4531-ac68-3cef7f11a801,Sources2021_02_23,01.05.07,1,0fb8b570-3498-4662-999f-266a90cdb5b0,"{""contrib_count"": 4, ""answer_text_list"": []}",1,236,252,British Columbia
DDI-Goodly-Covid-AA-Subset-Articles (1)/DDI-DeKai/local news/PremierCallsForAction.txt,530712330,PremierCallsForAction.txt,6257cbd769bab52c198f7776716a63d2b9dc4c2bdc231b5d6d7c302f5121ea4e,2452,6e5544c4-bbee-4369-8aa7-09f73d037685,DDI_DeKai_QuotedSources_2022_04_22.IAA,2a7f2bc8-f2a9-4666-a65b-e6a2bcbcbc06,Consensus generated at 2022-06-06T022353,True,336372e7-8312-46be-a50c-9b989632d43c,3d2656a3-66c4-4d1e-bed2-94246402d2e3,Sources2021_02_23,01.03.01,1,0c6cfcb0-51be-4afd-9deb-80c645cc8500,"{""contrib_count"": 4, ""answer_text_list"": []}",0,0,0,
